City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
404,Novyy Rogachik,48.6768,44.0608,57.0,76,40,11.18,RU,2021-04-11 22:33:30,scattered clouds
405,Zhiryatino,53.2228,33.7306,46.4,49,3,4.47,RU,2021-04-11 22:33:30,clear sky
406,Brooks,50.5834,-111.8851,39.2,56,100,6.91,CA,2021-04-11 22:33:31,overcast clouds
407,Butembo,0.15,29.2833,57.49,82,66,2.1,CD,2021-04-11 22:33:31,broken clouds
408,Mayo,38.8876,-76.5119,70.0,60,20,8.05,US,2021-04-11 22:33:32,few clouds
409,Zhongshu,24.5167,103.7667,55.56,98,20,4.09,CN,2021-04-11 22:33:32,few clouds
410,San Juan,-31.5375,-68.5364,66.43,25,0,2.42,AR,2021-04-11 22:33:32,clear sky
411,Bathsheba,13.2167,-59.5167,78.8,69,75,13.8,BB,2021-04-11 22:33:33,volcanic ash
412,Rio Tercero,-32.173,-64.1141,57.0,63,0,4.32,AR,2021-04-11 22:33:33,clear sky
413,Husavik,66.0449,-17.3389,33.8,80,75,4.61,IS,2021-04-11 22:33:33,broken clouds
414,Saint Anthony,45.0205,-93.218,55.4,67,90,13.8,US,2021-04-11 22:33:34,overcast clouds
415,Coquimbo,-29.9533,-71.3436,59.0,82,0,12.66,CL,2021-04-11 22:29:22,clear sky
416,Naze,28.3667,129.4833,69.8,73,20,17.27,JP,2021-04-11 22:33:34,few clouds
417,Hambantota,6.1241,81.1185,77.79,83,95,2.57,LK,2021-04-11 22:33:34,overcast clouds
418,Tooele,40.5308,-112.2983,51.01,40,1,10.36,US,2021-04-11 22:30:01,clear sky
419,Lata,40.1629,-8.3327,55.0,88,18,3.0,PT,2021-04-11 22:28:47,few clouds
420,Lamu,-2.2717,40.902,82.4,83,40,6.91,KE,2021-04-11 22:33:35,scattered clouds
421,Sao Filipe,14.8961,-24.4956,75.07,67,0,8.12,CV,2021-04-11 22:33:35,clear sky
422,Itoman,26.1247,127.6694,69.8,73,20,10.36,JP,2021-04-11 22:33:36,few clouds
423,Mogzon,51.7435,111.9606,16.09,50,87,3.15,RU,2021-04-11 22:33:36,overcast clouds
424,Ilulissat,69.2167,-51.1,30.2,69,75,4.61,GL,2021-04-11 22:33:37,broken clouds
425,Ler,8.3018,30.1418,85.5,39,69,4.92,SS,2021-04-11 22:33:37,broken clouds
426,Port Pirie,-33.1833,138.0167,50.0,81,99,3.44,AU,2021-04-11 22:33:37,overcast clouds
427,Coos Bay,43.3665,-124.2179,55.99,62,1,26.46,US,2021-04-11 22:28:52,clear sky
428,Takoradi,4.8845,-1.7554,80.82,86,99,5.53,GH,2021-04-11 22:33:15,overcast clouds
429,Keelung,25.1283,121.7419,71.01,100,20,3.44,TW,2021-04-11 22:33:38,few clouds
430,Gaya,24.7833,85.0,69.8,46,71,4.61,IN,2021-04-11 22:33:38,haze
431,Kununurra,-15.7667,128.7333,77.0,94,100,5.75,AU,2021-04-11 22:33:39,overcast clouds
432,Sayyan,15.1718,44.3244,57.99,52,4,1.25,YE,2021-04-11 22:33:39,clear sky
433,Faya,18.3851,42.4509,62.6,44,0,0.87,SA,2021-04-11 22:33:39,clear sky
434,Mindelo,16.8901,-24.9804,71.6,78,20,16.11,CV,2021-04-11 22:31:23,few clouds
435,Port Elizabeth,-33.918,25.5701,60.8,100,40,3.44,ZA,2021-04-11 22:33:40,scattered clouds
436,Sisimiut,66.9395,-53.6735,29.41,72,81,11.52,GL,2021-04-11 22:33:40,broken clouds
437,Brenes,37.5494,-5.8714,60.8,82,0,5.75,ES,2021-04-11 22:33:41,clear sky
438,Camacha,33.0833,-16.3333,64.4,94,40,4.61,PT,2021-04-11 22:33:41,scattered clouds
439,Sibolga,1.7427,98.7792,76.08,88,100,1.86,ID,2021-04-11 22:33:42,overcast clouds
440,Umm Lajj,25.0213,37.2685,69.21,48,0,13.31,SA,2021-04-11 22:33:42,clear sky
441,Uyovu,-3.2833,31.5258,61.92,97,71,3.69,TZ,2021-04-11 22:33:42,broken clouds
442,Emerald,-23.5333,148.1667,64.4,32,0,23.02,AU,2021-04-11 22:33:43,clear sky
443,Bahia Blanca,-38.7196,-62.2724,64.98,48,0,7.49,AR,2021-04-11 22:29:07,clear sky
444,Basar,27.9833,94.6667,58.6,90,56,3.91,IN,2021-04-11 22:33:43,broken clouds
445,Prince George,53.9166,-122.753,41.0,38,75,5.75,CA,2021-04-11 22:33:43,broken clouds
446,Toul,48.6667,5.9167,41.0,87,90,9.22,FR,2021-04-11 22:33:44,overcast clouds
